,score_1,score_2,score_3
Gifu,6.107968020806327,-16.79820932222961,29.649330028658163
MG100,-15.908253716756308,-17.388915638905022,27.39739138768179
MG101,-10.901998187966312,-21.099810512736983,13.727273182050382
MG102,-9.730236312002223,-16.636220831985856,28.147857456622575
MG103,-11.487057513149571,-21.64533382202181,19.16153735614066
MG104,-5.691668021648206,-23.831313376237073,14.839446500427778
MG105,5.380400865072033,-30.843508088308393,34.357956170913695
MG106,-15.411073441006478,-27.22680739204315,35.4141612179498
MG107,-8.258235508744193,-31.575025326547895,19.203754392926815
MG109,-2.6731177238612545,-33.695971870603,22.08686694568653
MG10,-9.280712177339746,-20.273606287994944,31.931043814214057
MG110,-10.66640055730172,-31.87332360018754,27.363112736374983
MG111,2.3052638392594043,-24.481427130948276,27.87227999321352
MG112,-4.564244419384747,-23.1076587167773,35.20797899777681
MG113,3.296800340875557,-20.454979535644444,16.22222871143292
MG115,-8.36111536787649,-32.865284962742024,32.621272115642945
MG116,12.805183853676118,-24.279641077028888,21.52396386917593
MG117,-0.7270821475316074,-28.31426405585497,40.75864479798742
MG118,-5.006824184092432,-26.679339930366698,21.430780104449074
MG119,-5.487975090964678,-31.483201249808126,19.478375083999683
MG11,-12.64293244607474,-29.66979219887985,24.29475015955226
MG120,-2.872883040530163,-22.92016143947286,25.84875826328712
MG121,-2.734978895135179,-35.111164363340976,22.733361774349014
MG122,-2.3514737379797457,-23.437334222635144,26.593283530400875
MG123,-5.238431039351254,-14.493955458111692,30.440085569105012
MG124,-8.383279981976374,-8.436824966684796,39.750027430701515
MG125,-6.422410329111411,-21.360533424225746,23.847215385067344
MG126,-10.804056534061454,-16.76420003122893,23.547856842984974
MG127,-3.49087837777262,-22.723063768836113,27.229006501524502
MG128,-11.177847762072833,-12.647634779531487,26.385265960738383
MG129,-5.0939119616529975,-21.06884452682298,32.46222772680963
MG12,-6.581803733521995,-25.62795792999275,23.4848987927992
MG130,5.28377402270435,-19.483708291489158,41.50975575040291
MG131,-6.937531570781404,-19.065135035293757,30.377300381756374
MG132,-6.937926158661829,-20.238130045015073,28.284587093266296
MG133,1.7801693397348064,-21.52323252102641,27.180831723267595
MG134,-5.146111956782441,-21.846365342738494,22.272737971258007
MG135,5.7124427864580465,-19.590813121620876,26.887802230742786
MG136,2.703435526981676,-23.28289038064829,26.77434404619626
MG137,5.440025886199078,-22.348415934014103,38.068286199354866
MG138,-0.2705462711186444,-23.15280227968989,30.71500617077952
MG139,2.5152286259640393,-29.51942080277244,32.28625115403523
MG13,-4.373081221784756,-26.174557768277324,30.350296450658746
MG140,-5.09765684948969,-29.679861909698726,27.391035437108957
MG141,0.9090447599663205,-19.41792236211019,30.995010541988236
MG142,-9.09626823418109,-28.650711147467458,29.812099566189055
MG143,-15.766880876653868,-19.813273712766737,31.641059531959765
MG144,-3.754846973307126,-18.329779928899345,31.095415143347896
MG145,2.456232502422025,-17.746362977369515,19.724926826804616
MG146,10.747570189296834,-11.063556346045251,33.04627606030152
MG148,3.2639557530484504,-18.828046884715366,28.647971698020537
MG149,14.722411094425924,-19.435152380278637,31.900554683633548
MG14,-8.873393956121486,-22.664475118751675,16.756534631615462
MG150,1.3096839108069418,-13.830594584201634,39.79759235079647
MG151,0.4836838169912632,-17.672463502870595,32.37712930680032
MG152,-10.228059960424247,-24.564808563424915,35.62700652948673
MG154,1.0283035462921128,-26.192223124878346,44.55708418952758
MG156,2.6707385838690616,-10.802937561276032,32.13786945933916
MG15,-4.387357603444015,-32.44205337875592,27.663006236985282
MG162,-0.25621482597299083,-13.642561900855554,37.00564443946664
MG163,-4.088540157047219,-14.759044960591622,38.244188865214234
MG16,0.4243844241013954,-9.217672171302189,25.841934420653626
MG170,-0.012748197063450544,-18.90577187664331,41.26906830179713
MG172,1.7460121302665583,-13.836023269907859,33.26855613207072
MG176,-0.9727304235472156,-25.54038116647716,43.11355832539738
MG187,0.3139025662012299,-17.958804160604537,27.349636353755816
MG188,-15.964713285856783,-18.937986767371747,34.64004544888641
MG18,-2.9490885421457946,-32.065828048636746,13.390113314456748
MG196,-14.360577127219932,-27.192201515747954,28.852053036448574
MG198,-9.341240165492916,-21.204387252722075,21.749442040736653
MG19,-3.120198081794946,-31.115861717217054,22.924681060804737
MG1,-5.442862515434455,-22.114780287671426,24.648661919583066
MG201,1.7843024802964138,-9.686236079318741,32.545023595098286
MG202,-10.460170548713274,-17.206160911791063,30.426010744504822
MG203,-13.764416882488,-10.280938267500156,22.808297931230218
MG204,-4.950761035100062,-14.889817180072322,21.09996725735707
MG205,-13.993664703983097,-17.174308227466586,8.642009035008096
MG206,-10.05196775536558,-18.754394239034628,26.961293375643155
MG207,-2.604614875519429,-23.26767846630806,29.98950148880731
MG209,1.1858044495819915,-8.93890095136763,32.83141624347808
MG20,10.812331799161585,-31.219859273131668,36.575752160922185
MG21,4.30870423352637,-11.347717103586973,36.21397502614814
MG221,-14.5289683593764,-25.073390236009796,33.98556522063047
MG222,-13.875514434890086,-23.394630830332797,29.409870534730324
MG225,-5.006871601909352,-8.367867834636785,36.65036502337991
MG22,-5.445678459477761,-24.517859954097094,13.195849769839768
MG23,-20.77984787195199,-23.473064011819563,23.41142339710446
MG24,-0.3951988820243464,-25.42010952291723,27.54797421489122
MG25,-9.534080694771337,-17.53206230354033,30.7397521904686
MG26,4.848852852771836,-14.455047935858687,30.17945783953897
MG27,-11.53995494846357,-21.217601223198777,15.48943782619003
MG28,0.06930889843321295,-9.470217916399944,32.973565284354265
MG29,-2.5092059307209036,-20.783993458454578,20.762797257084543
MG2,-11.866902173589335,-27.37108180339189,28.5080149627091
MG30,-4.815684906050235,-24.36577708345544,31.833214581242252
MG32,-8.891838861212934,-31.124698650078386,15.949980328067019
MG33,-17.322759290008516,-12.013651682291373,26.312416722457264
MG34,-5.303461106742045,-31.96129800644846,30.37796278864581
MG35,-4.864555271864513,-14.464803322267846,24.441161047106995
MG36,-16.90218795744793,-14.22957601615957,26.820102587601312
MG38,-6.415461462765924,-10.875189330321676,36.085441354204455
MG39,-4.537320560454763,-18.005484394156696,18.50497495526636
MG3,-17.815063905619375,-18.332215749050725,23.22468392950048
MG40,5.921825697432102,-27.856198674528915,20.76681652013096
MG41,12.956091954668947,-33.553450794819824,25.64794622949067
MG42,12.551786426364288,-23.762447099790858,15.470998180775599
MG44,3.0359797423696757,-31.09340887198065,27.45182513977641
MG45,1.8494545152191846,-33.44317271048894,31.367961582357253
MG46,-10.576628331780439,-20.153591959293255,18.096701232743357
MG48,-9.974864338262092,-29.74989339264087,30.914101077813505
MG49,-10.731369522378241,-30.8973801685524,40.671515129599584
MG4,-0.6283845128463786,-20.750565295235994,20.617390374013496
MG50,-0.9590582855014405,-25.81713349960583,29.853810309205418
MG51,-11.484738359244206,-21.06724174340645,38.25314842506509
MG52,-10.183838728303499,-19.49312432629937,24.18649158179293
MG53,-11.573496528285963,-28.856312163655634,31.92364033917587
MG55,0.7810981770228381,-27.486255120839846,10.81765643713879
MG56,-2.933964558155246,-22.75643533228765,18.374728054922244
MG57,-9.42804519325387,-26.52265175623587,17.44540981242624
MG58,0.10300371465018508,-20.581803748349852,10.461532854250832
MG59,-5.334592033009621,-19.098930495943687,37.669376941949366
MG5,-12.167128475825328,-29.34828234534713,13.455954672200626
MG60,-4.988885194479714,-16.469171399260166,18.23205373823151
MG61,8.683438690237988,-17.11039912019711,34.20200858662374
MG62,18.793937458300313,-28.424929280948852,27.53428089648412
MG63,3.621240443205812,-28.007687963078823,32.81966708274363
MG64,-5.606274728538273,-24.263702560956474,36.09878870575592
MG65,-0.9178599513342611,-20.064363219627634,7.805737930485
MG66,-2.455294395445325,-30.53359826123453,25.073098878467878
MG67,-5.293694525464941,-19.28945065245492,16.485783499101213
MG68,-13.294796558395536,-26.161723590996026,28.912139704913578
MG69,-16.2353573135836,-24.19125779216194,28.288475871476212
MG6,-7.792984503903737,-16.684187167082868,30.935141268390915
MG70,-8.116990608682206,-13.061868664753062,19.791089834949503
MG71,-12.987574049820333,-26.421723190371708,20.95670463298555
MG72,7.685982594300418,-31.694479717649646,26.541804421404724
MG73,6.460230476819803,-31.44234828586585,29.848356428762607
MG74,2.5171062958522934,-26.070474459786492,20.5537321100747
MG75,-5.4165919665509925,-28.92917958874165,25.62698467474423
MG76,-12.008408628202007,-28.57842470955323,33.99001436603235
MG77,0.9606516419477759,-27.49183027708308,31.16348808452591
MG78,-5.93548945553106,-23.632388562709508,35.27211317756832
MG79,-1.9531487049682879,-19.159114244962666,24.33304582293623
MG7,-12.099081259786885,-28.28434566989516,20.02965870744852
MG80,-4.083955736505229,-34.6101812350363,25.293256446831506
MG81,-12.31964275165312,-31.15687185158654,34.09907142103138
MG82,-0.007228789084223851,-14.517694676422812,29.484820900235217
MG83,-8.70592922384072,-26.180171978010623,22.433659787572328
MG84,-0.9764982893584251,-35.38657780983735,22.175307194883825
MG85,-0.4733093220771339,-27.469590934932295,21.161935220211856
MG86,5.575567281570543,-32.57310156384958,41.65477056085369
MG88,-15.242483201681328,-31.7576134131776,20.491314037465642
MG89,-10.571005672120311,-26.633722952824776,19.059724461777385
MG8,-3.5586768949396803,-30.728243406448296,24.868744961967572
MG90,-0.4265553758344511,-30.353991142615378,28.876716576170264
MG91,-5.925308454614643,-19.299750071743613,36.70122718116539
MG92,-9.866627508063393,-26.995723608500782,23.473716937381745
MG93,-10.472313861782036,-23.574434138381744,25.404885317113358
MG94,-1.3993962777494229,-14.523757660146053,24.576248395171767
MG95,-16.97278968183987,-33.48645960073732,26.79803214599136
MG96,-3.8468332798371425,-27.84102500174493,23.16766818217752
MG97,-15.65431382129174,-26.88801288199895,37.423594422775174
MG98,-17.164295551482198,-14.827088773947434,20.288598865816653
MG99,-9.926384515667465,-26.27582399066435,24.820843379081925
MG9,-8.157164755463523,-17.72486250710046,29.483199881034587
